"";"loading1";"loading2";"correlation";"n";"rrdelta001";"rrdelta005";"rrdelta010";"rrboot001";"rrboot005";"rrboot010";"tdelta";"tboot"
"1";1;1;0,7;1e+05;1;1;1;1;1;1;1.14828350806236;1.14949505999883
"2";1;1;0,8;1e+05;1;1;1;1;1;1;1.10207099986076;1.13605126523177
"3";1;1;0,9;1e+05;1;1;1;1;1;1;1.09400295543671;1.12825897027651
"4";1;1;1;1e+05;0,01;0,053;0,104;0,011;0,055;0,103;1.08474086904526;1.11791024389664
